ZipCode;Latitude;Longitude;State;StateFullName;City
00785;17.98;-66.1101;PR;Puerto Rico;Guayama
00786;18.1564;-66.2336;PR;Puerto Rico;La Plata
00791;18.138009;-65.818996;PR;Puerto Rico;Humacao
00792;18.1519;-65.8279;PR;Puerto Rico;Humacao
00794;18.200791;-66.307012;PR;Puerto Rico;Barranquitas
00795;18.017302;-66.493329;PR;Puerto Rico;Juana Diaz
00801;18.3436;-64.9314;VI;Virgin Islands;St Thomas
00802;18.3436;-64.9322;VI;Virgin Islands;St Thomas
00803;18.3436;-64.9314;VI;Virgin Islands;St Thomas
00804;18.3436;-64.9314;VI;Virgin Islands;St Thomas
00805;18.3436;-64.9314;VI;Virgin Islands;St Thomas
00820;17.745384;-64.703369;VI;Virgin Islands;Christiansted
00821;17.7488;-64.7039;VI;Virgin Islands;Christiansted
00822;17.7488;-64.7039;VI;Virgin Islands;Christiansted
00823;17.7488;-64.7039;VI;Virgin Islands;Christiansted
00824;17.7488;-64.7039;VI;Virgin Islands;Christiansted
00830;18.3282;-64.7407;VI;Virgin Islands;St John
00831;18.3333;-64.7943;VI;Virgin Islands;St John
00840;17.712409;-64.882164;VI;Virgin Islands;Frederiksted
00841;17.7147;-64.8818;VI;Virgin Islands;Frederiksted
00850;17.723;-64.78295;VI;Virgin Islands;Kingshill
00851;17.7253;-64.7836;VI;Virgin Islands;Kingshill
00901;18.4654;-66.104373;PR;Puerto Rico;San Juan
00902;18.4683;-66.1061;PR;Puerto Rico;San Juan
00906;18.46462;-66.10078;PR;Puerto Rico;San Juan
00907;18.451852;-66.084976;PR;Puerto Rico;San Juan
00908;18.4683;-66.1061;PR;Puerto Rico;San Juan
00909;18.441112;-66.066068;PR;Puerto Rico;San Juan
00910;18.45;-66.07;PR;Puerto Rico;San Juan
00911;18.451408;-66.057889;PR;Puerto Rico;San Juan
00912;18.445384;-66.061116;PR;Puerto Rico;San Juan
00913;18.450365;-66.044399;PR;Puerto Rico;San Juan
00914;18.4683;-66.1061;PR;Puerto Rico;San Juan
00915;18.437208;-66.044602;PR;Puerto Rico;San Juan
00916;18.4683;-66.1061;PR;Puerto Rico;San Juan
00917;18.421194;-66.049352;PR;Puerto Rico;San Juan
00918;18.423656;-66.067402;PR;Puerto Rico;San Juan
00919;18.4683;-66.1061;PR;Puerto Rico;San Juan
00920;18.416061;-66.089552;PR;Puerto Rico;San Juan
00921;18.390532;-66.08842;PR;Puerto Rico;San Juan
00922;18.4683;-66.1061;PR;Puerto Rico;San Juan
00923;18.41138;-66.033958;PR;Puerto Rico;San Juan
00924;18.400569;-66.00496;PR;Puerto Rico;San Juan
00925;18.403282;-66.047812;PR;Puerto Rico;San Juan
00926;18.34646;-66.062461;PR;Puerto Rico;San Juan
